sample_index,domain,scene_id,scan_id,image_relpath,input_size,target_height,target_width,valid_pixel_count,boundary_pixel_count,weight_sum,base_primary_error_sum,primary_error_sum,primary_utility_sum,base_absrel_error_sum,absrel_error_sum,absrel_utility_sum,metric_scale,forward_milliseconds
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,742,742,994,786369,78638,1100921.0,319044.8208653766,358559.2111213808,-39514.390256004175,206360.9806768534,232518.602604357,-26157.621927503613,0.061119309921153615,59.91543270647526
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,798,798,1064,786369,78638,1100921.0,319044.8208653766,359596.92694012605,-40552.106074749434,206360.9806768534,234132.16350113665,-27771.182824283256,0.06160401162381275,74.36191011220217
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,854,854,1134,786369,78638,1100921.0,319044.8208653766,380485.28525323013,-61440.46438785351,206360.9806768534,250648.7581684328,-44287.777491579414,0.058909771371412595,102.03869733959436
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,910,910,1218,786369,78638,1100921.0,319044.8208653766,390277.8808221326,-71233.05995675595,206360.9806768534,255557.7576366216,-49196.776959768205,0.060625678472376564,112.0110210031271
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,966,966,1288,786369,78638,1100921.0,319044.8208653766,376128.33432814985,-57083.51346277323,206360.9806768534,243592.51091783505,-37231.530240981665,0.05847386950124814,162.24228125065565
4,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_150_020.png,1022,1022,1358,786369,78638,1100921.0,319044.8208653766,382316.5801439201,-63271.75927854347,206360.9806768534,249676.71644182235,-43315.735764968966,0.05922455098014979,174.74742513149977
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,518,518,686,688024,68799,963220.0,333786.4340209197,333786.4340209197,0.0,213044.9889091677,213044.9889091677,0.0,0.08444149141698419,49.59451872855425
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,574,574,770,688024,68799,963220.0,333786.4340209197,341270.7388909003,-7484.304869980551,213044.9889091677,217839.93692637875,-4794.948017211049,0.08413433656400064,32.80549868941307
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,630,630,840,688024,68799,963220.0,333786.4340209197,330832.32705848536,2954.1069624343654,213044.9889091677,209646.89629997936,3398.092609188345,0.07877597136944894,95.80960124731064
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,686,686,910,688024,68799,963220.0,333786.4340209197,331763.7094098879,2022.7246110318229,213044.9889091677,210584.6551679669,2460.333741200797,0.0775997309241797,46.2661636993289
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,742,742,994,688024,68799,963220.0,333786.4340209197,345242.8773452195,-11456.443324299762,213044.9889091677,220565.9695831397,-7520.980673971993,0.07804602271851806,58.99729020893574
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,798,798,1064,688024,68799,963220.0,333786.4340209197,341418.7845073458,-7632.35048642609,213044.9889091677,218008.64323383535,-4963.654324667645,0.07173550291551713,62.882838770747185
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,854,854,1134,688024,68799,963220.0,333786.4340209197,347722.4829536248,-13936.048932705075,213044.9889091677,223531.9647476107,-10486.975838443002,0.07236535111124674,93.94056629389524
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,910,910,1218,688024,68799,963220.0,333786.4340209197,351954.5401989934,-18168.106178073678,213044.9889091677,226293.12304467673,-13248.134135509026,0.07071400182959584,94.71977781504393
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,966,966,1288,688024,68799,963220.0,333786.4340209197,356323.17372602754,-22536.739705107815,213044.9889091677,228588.46230128466,-15543.473392116954,0.0710707472712298,115.0625767186284
5,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,1022,1022,1358,688024,68799,963220.0,333786.4340209197,361789.9361790106,-28003.50215809088,213044.9889091677,233405.25237682246,-20360.26346765476,0.06940251723425524,146.67319785803556
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,518,518,686,782104,78210,1094944.0,1269711.9965333184,1269711.9965333184,0.0,860272.3519046708,860272.3519046708,0.0,0.06930490203825383,22.966804914176464
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,574,574,770,782104,78210,1094944.0,1269711.9965333184,1192560.5825022487,77151.41403106973,860272.3519046708,781728.8002407482,78543.55166392261,0.06944608693362096,30.674501322209835
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,630,630,840,782104,78210,1094944.0,1269711.9965333184,1117665.1164715756,152046.88006174285,860272.3519046708,736000.9584597773,124271.39344489353,0.06746131027798048,38.967858999967575
6,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,686,686,910,782104,78210,1094944.0,1269711.9965333184,1052010.7466515298,217701.24988178862,860272.3519046708,686648.4313596305,173623.92054504028,0.06836817620920133,45.06736993789673
