sample_index,scan_id,image_relpath,global_thresholded_gradient_density,region_id,boosting_gradient_density_ratio,passes_official_density_threshold,selected_exact_k,selected_at_most_k_official_threshold,primary_utility_sum,absrel_utility_sum
5,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,0.10656626199360768,5,1.0974622631614983,True,False,False,80.97200146936714,11.761562473202801
5,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,0.10656626199360768,6,1.1092097038318072,True,False,False,-35.48091600896373,-28.862920583990515
5,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,0.10656626199360768,7,0.736330505825583,False,False,False,-3.4055663415470745,4.1938336777169845
5,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,0.10656626199360768,8,0.928144064331863,False,False,False,-61.530917056982815,176.8265811432368
5,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,0.10656626199360768,9,1.465533911895961,True,True,True,-185.8865680440886,68.00789251963613
5,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,0.10656626199360768,10,1.5638791633850457,True,True,True,-249.3009435423745,28.2093281577256
5,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_200_020.png,0.10656626199360768,11,1.197667976685893,True,True,True,-163.33353171789375,16.583564404800438
6,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,0.10371499738406513,0,1.8228759928844571,True,True,True,38739.05842863518,28465.22009804357
6,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,0.10371499738406513,1,1.2692588169424412,True,True,True,6539.625357228115,5472.324533728153
6,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,0.10371499738406513,2,0.9948523798798825,False,False,False,1083.8921369945542,294.5197188777099
6,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,0.10371499738406513,3,0.8942097933721694,False,False,False,874.9209997448681,63.8900468928031
6,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_240_000.png,0.10371499738406513,4,1.1734596596295006,True,True,True,235.73631970922048,154.38543196972037
