sample_index,domain,scene_id,scan_id,image_relpath,input_size,status,target_height,target_width,valid_pixel_count,boundary_pixel_count,weight_sum,base_primary_error_sum,primary_error_sum,primary_utility_sum,base_absrel_error_sum,absrel_error_sum,absrel_utility_sum,metric_scale,forward_milliseconds
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,574,OK,574,770,498788,49708,697620.0,8009431.283547761,8341430.539152703,-331999.25560494233,2361856.9413916282,2458169.237508714,-96312.29611708596,0.022170253000335073,24.943377822637558
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,630,OK,630,840,498788,49708,697620.0,8009431.283547761,8135728.860848427,-126297.5773006659,2361856.9413916282,2396302.91106625,-34445.96967462171,0.022077704952760867,38.497818633913994
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,686,OK,686,910,498788,49708,697620.0,8009431.283547761,8061597.344283886,-52166.060736125335,2361856.9413916282,2366363.810971897,-4506.86958026886,0.02188952814129437,44.85404398292303
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,742,OK,742,994,498788,49708,697620.0,8009431.283547761,8283457.46366694,-274026.1801191792,2361856.9413916282,2455553.249503959,-93696.30811233073,0.021486696698820296,50.516373477876186
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,798,OK,798,1064,498788,49708,697620.0,8009431.283547761,8235857.57436911,-226426.29082134925,2361856.9413916282,2446602.066876037,-84745.12548440881,0.021838241776404095,71.30884099751711
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,854,OK,854,1134,498788,49708,697620.0,8009431.283547761,8318106.400635055,-308675.11708729435,2361856.9413916282,2466693.6995524433,-104836.75816081511,0.02129687290962768,83.46136473119259
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,910,OK,910,1218,498788,49708,697620.0,8009431.283547761,8329035.137973006,-319603.85442524496,2361856.9413916282,2484169.8392297025,-122312.89783807425,0.021436619571254596,95.83303797990084
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,966,OK,966,1288,498788,49708,697620.0,8009431.283547761,8529268.630760107,-519837.34721234627,2361856.9413916282,2541302.0743816174,-179445.13298998913,0.020158049546230773,115.81388302147388
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1022,OK,1022,1358,498788,49708,697620.0,8009431.283547761,8612360.339809677,-602929.0562619157,2361856.9413916282,2575720.4795671944,-213863.53817556612,0.020169676719017208,159.03813112527132
119,outdoor,scene_00022,outdoor/scene_00022/scan_00194,val/outdoor/scene_00022/scan_00194/00022_00194_outdoor_280_030.png,1078,OK,1078,1442,498788,49708,697620.0,8009431.283547761,8438753.418754485,-429322.1352067236,2361856.9413916282,2541636.2756264005,-179779.33423477225,0.020828639144093202,164.39504735171795
